case_id,rank,query_concept,support_concept,query_mapped,support_mapped,crg_prior,lcrf_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
LCRF01_row87731,1,C42,C211,8,58,0.5963733494281769,0.751432865858078,0.15505951642990112,2.0,1.5954060554504395,44.0,0.16713881492614746,0.04937561973929405,item+seq,0
LCRF01_row87731,1,C42,C212,8,59,0.13021617010235786,0.13869068026542664,0.008474510163068771,2.0,1.7486900091171265,36.0,0.12181302905082703,0.029901472851634026,item+seq,0
LCRF01_row87731,1,C42,C210,8,57,0.11389343813061714,0.054090834222733974,-0.05980260390788317,1.2948229312896729,1.3911938667297363,14.0,0.04249291867017746,0.013334940187633038,item+seq,0
LCRF01_row87731,1,C42,C144,8,35,0.0681675048545003,0.024700922891497612,-0.04346658196300268,2.0,1.5904512405395508,53.0,0.00566572230309248,0.0416986458003521,item+seq,0
LCRF01_row87731,1,C42,C42,8,8,0.050000001676380634,0.01657215505838394,-0.03342784661799669,2.0,1.6249991655349731,94.0,0.0,0.0,self,1
LCRF01_row87731,1,C42,C32,8,1,0.02117423014715314,0.007132211234420538,-0.014042018912732601,2.0,1.598575472831726,192.0,0.32861191034317017,0.16643474996089935,item+seq,0
LCRF01_row87731,1,C42,C33,8,2,0.016360904788598418,0.006091096205636859,-0.01026980858296156,1.9226245880126953,1.6254472732543945,25.0,0.00566572230309248,0.017272328957915306,item+seq,0
LCRF01_row87731,1,C42,C3,8,0,0.0038139732205308974,0.0012888956698589027,-0.0025250775506719947,2.0,1.6127513647079468,349.0,0.32861191034317017,0.2722775638103485,item+seq,0
LCRF02_row31212,2,C144,C204,35,54,0.6516359150409698,0.7830885797739029,0.13145266473293304,2.0,1.550916314125061,43.0,0.16938111186027527,0.0382198691368103,item+seq,0
LCRF02_row31212,2,C144,C33,35,2,0.10523382388055325,0.13320868834853172,0.027974864467978477,1.887876272201538,1.622963309288025,24.0,0.10097719728946686,0.02078862488269806,item+seq,0
LCRF02_row31212,2,C144,C42,35,8,0.090491758659482,0.0324147567152977,-0.0580770019441843,2.0,1.6249982118606567,93.0,0.0065146577544510365,0.05269709229469299,item+seq,0
LCRF02_row31212,2,C144,C202,35,53,0.06689038686454296,0.022975806146860123,-0.04391458071768284,1.1313049793243408,1.431962251663208,9.0,0.055374592542648315,0.00928262248635292,item+seq,0
LCRF02_row31212,2,C144,C144,35,35,0.05000000074505806,0.01610209047794342,-0.03389791026711464,2.0,1.590592622756958,77.0,0.0,0.0,self,1
LCRF02_row31212,2,C144,C32,35,1,0.017262706998735666,0.005667727964464575,-0.011594979034271091,2.0,1.522982120513916,275.0,0.32899022102355957,0.16551083326339722,item+seq,0
LCRF02_row31212,2,C144,C212,35,59,0.015292925760149956,0.005388548597693443,-0.009904377162456512,2.0,1.749351143836975,38.0,0.0065146577544510365,0.016841284930706024,item+seq,0
LCRF02_row31212,2,C144,C3,35,0,0.0031012939289212227,0.0010448485845699906,-0.002056445344351232,0.7670023441314697,0.12353293597698212,586.0,0.32899022102355957,0.26645374298095703,item+seq,0
LCRF03_row90485,3,C42,C211,8,58,0.5963733494281769,0.7824098020792007,0.18603645265102386,1.5605262517929077,1.5444010496139526,17.0,0.16713881492614746,0.04937561973929405,item+seq,0
LCRF03_row90485,3,C42,C212,8,59,0.13021617010235786,0.08427828550338745,-0.04593788459897041,-0.147200345993042,-0.2564539611339569,3.0,0.12181302905082703,0.029901472851634026,item+seq,0
LCRF03_row90485,3,C42,C210,8,57,0.11389343813061714,0.0743781179189682,-0.03951532021164894,0.6660603880882263,1.0550861358642578,5.0,0.04249291867017746,0.013334940187633038,item+seq,0
LCRF03_row90485,3,C42,C144,8,35,0.0681675048545003,0.02616405626758933,-0.04200344858691096,0.3056860566139221,0.1235707700252533,10.0,0.00566572230309248,0.0416986458003521,item+seq,0
LCRF03_row90485,3,C42,C42,8,8,0.050000001676380634,0.017686156556010246,-0.03231384512037039,1.3990014791488647,1.2602412700653076,25.0,0.0,0.0,self,1
LCRF03_row90485,3,C42,C32,8,1,0.02117423014715314,0.007595912553369999,-0.01357831759378314,1.1476682424545288,0.6246321797370911,35.0,0.32861191034317017,0.16643474996089935,item+seq,0
LCRF03_row90485,3,C42,C33,8,2,0.016360904788598418,0.006112675881013274,-0.010248228907585144,0.37727922201156616,0.20956455171108246,10.0,0.00566572230309248,0.017272328957915306,item+seq,0
LCRF03_row90485,3,C42,C3,8,0,0.0038139732205308974,0.0013746205950155854,-0.002439352625515312,1.7696611881256104,0.8493698835372925,60.0,0.32861191034317017,0.2722775638103485,item+seq,0
