stu_id,exer_id,cpt_seq,label,label_eval,mapped_student_id,mapped_exercise_id,prob_A_fused,prob_no_A,a_support_mass_to_history,a_min_concept_train_freq,concept_count,student_train_count,a_query_support_degree_mean,a_query_top1_evidence_mean,a_query_top5_evidence_mass_mean,a_query_seq_top5_mass_mean,group_all,group_graph_hits_history,group_high_support_mass,group_multi_concept,support_mass_bin,query_degree_bin,query_top1_bin,query_top5_bin,query_seq_top5_bin,bce_gain_A_over_no_A
0,10,"1,24,31",1,1.0,0,10,0.36404017,0.17776658,0.623344361782074,2144.0,3,15,97.0,0.22781402866045633,0.6817495425542196,0.46858421961466473,True,True,False,True,q2_midlow,q1_low,q2_midlow,q4_high,q3_midhigh,0.7167928
0,13,9,0,0.0,0,13,0.39882252,0.08700236,0.07659798860549927,3428.0,1,15,103.0,0.24677443504333496,0.6467334628105164,0.3146516680717468,True,True,False,False,q1_low,q2_midlow,q3_midhigh,q3_midhigh,q1_low,-0.41784316
0,18,11,1,1.0,0,18,0.7538456,0.8458696,0.08678732812404633,2595.0,1,15,102.0,0.23625300824642181,0.6472349762916565,0.31571921706199646,True,True,False,False,q1_low,q2_midlow,q3_midhigh,q3_midhigh,q1_low,-0.115177736
2,38,4,1,1.0,1,38,0.90607274,0.94181395,0.6501520276069641,1248.0,1,198,102.0,0.13150732219219208,0.3278265595436096,0.3278265595436096,True,True,False,False,q2_midlow,q2_midlow,q2_midlow,q1_low,q1_low,-0.038688164
2,89,29,0,0.0,1,89,0.7679865,0.74828,0.4070957601070404,3948.0,1,198,95.0,0.4788525104522705,0.6588677167892456,0.36955973505973816,True,True,False,False,q1_low,q1_low,q4_high,q3_midhigh,q2_midlow,-0.08152175
2,220,79,1,1.0,1,220,0.888664,0.7695561,0.9525865316390991,8598.0,1,198,109.0,0.13964493572711945,0.4798092842102051,0.4798092842102051,True,True,True,False,q4_high,q3_midhigh,q2_midlow,q2_midlow,q4_high,0.14390537
2,68,21,1,1.0,1,68,0.9470102,0.98956364,0.8387101888656616,182.0,1,198,82.0,0.20489002764225006,0.38168513774871826,0.38168513774871826,True,True,False,False,q3_midhigh,q1_low,q2_midlow,q1_low,q2_midlow,-0.0439542
2,69,21,1,1.0,1,69,0.91682243,0.986458,0.8387101888656616,182.0,1,198,82.0,0.20489002764225006,0.38168513774871826,0.38168513774871826,True,True,False,False,q3_midhigh,q1_low,q2_midlow,q1_low,q2_midlow,-0.07320694
2,107,32,1,1.0,1,107,0.93526846,0.8279791,0.9287851452827454,4919.0,1,198,105.0,0.5482808351516724,0.7348743677139282,0.4697485566139221,True,True,True,False,q4_high,q2_midlow,q4_high,q4_high,q3_midhigh,0.12184572
2,145,38,1,1.0,1,145,0.7602272,0.7683045,0.9076051712036133,2700.0,1,198,110.0,0.11220662295818329,0.42260533571243286,0.42260533571243286,True,True,False,False,q3_midhigh,q3_midhigh,q1_low,q1_low,q3_midhigh,-0.010568857
