dataset,case_id,source_concept_id,source_concept_name,target_concept_id,target_concept_name,item_evidence_score,sequence_evidence_score,self_score,fused_crg_prob,support_rank,is_in_student_history,history_correct_rate_on_source,history_recent_correct_on_source,train_only_support_check_passed
assist_09,CRG01_row39811,58,C58,45,C45,0.4743202328681946,0.094986081123352,0,0.6480429172515869,1,,,,True
assist_09,CRG01_row39811,58,C58,104,C104,0.5256797671318054,0.0154182044789195,0,0.2182517200708389,1,,,,True
assist_09,CRG01_row39811,58,C58,58,C58,0.0,0.0,1,0.0500180311501026,1,,,,True
assist_09,CRG01_row39811,58,C58,32,C32,0.0,0.11874371021986,0,0.0254155471920967,1,,,,True
assist_09,CRG01_row39811,58,C58,98,C98,0.0,0.0769991874694824,0,0.0109643535688519,1,,,,True
assist_09,CRG01_row39811,58,C58,14,C14,0.0,0.0533610619604587,0,0.0101715307682752,1,,,,True
assist_09,CRG01_row39811,58,C58,81,C81,0.0,0.0467282459139823,0,0.0075423149392008,1,,,,True
assist_09,CRG01_row39811,58,C58,13,C13,0.0,0.0331450030207634,0,0.0071818134747445,1,,,,True
assist_09,CRG02_row10377,89,C89,99,C99,0.0,0.0665649250149726,0,0.1298323720693588,2,,,,True
assist_09,CRG02_row10377,89,C89,98,C98,0.0,0.0779777839779853,0,0.1268252432346344,2,,,,True
assist_09,CRG02_row10377,89,C89,93,C93,0.0,0.0368571653962135,0,0.1163766086101532,2,,,,True
assist_09,CRG02_row10377,89,C89,20,C20,0.0,0.0274796076118946,0,0.1039861440658569,2,,,,True
assist_09,CRG02_row10377,89,C89,7,C7,0.0,0.0701540261507034,0,0.0925420373678207,2,,,,True
assist_09,CRG02_row10377,89,C89,44,C44,0.0,0.0717147439718246,0,0.0822454243898391,2,,,,True
assist_09,CRG02_row10377,89,C89,26,C26,0.0,0.0294972416013479,0,0.0668312534689903,2,,,,True
assist_09,CRG02_row10377,89,C89,29,C29,0.0,0.0207626838237047,0,0.0665817856788635,2,,,,True
assist_09,CRG03_row7398,32,C32,33,C33,1.0,0.0965615436434745,0,0.8672233819961548,3,,,,True
assist_09,CRG03_row7398,32,C32,32,C32,0.0,0.0,1,0.0500294342637062,3,,,,True
assist_09,CRG03_row7398,32,C32,98,C98,0.0,0.072772093117237,0,0.0138031430542469,3,,,,True
assist_09,CRG03_row7398,32,C32,58,C58,0.0,0.0496693849563598,0,0.012534400448203,3,,,,True
assist_09,CRG03_row7398,32,C32,30,C30,0.0,0.170384481549263,0,0.0116574857383966,3,,,,True
assist_09,CRG03_row7398,32,C32,79,C79,0.0,0.0803610607981681,0,0.0115111209452152,3,,,,True
assist_09,CRG03_row7398,32,C32,81,C81,0.0,0.0413203798234462,0,0.008975114673376,3,,,,True
assist_09,CRG03_row7398,32,C32,82,C82,0.0,0.0375029817223548,0,0.0064714951440691,3,,,,True
assist_09,CRG03_row7398,33,C33,32,C32,1.0,0.0744435116648674,0,0.9038820266723632,3,,,,True
assist_09,CRG03_row7398,33,C33,33,C33,0.0,0.0,1,0.0500253736972808,3,,,,True
assist_09,CRG03_row7398,33,C33,98,C98,0.0,0.09156434237957,0,0.0092774722725152,3,,,,True
assist_09,CRG03_row7398,33,C33,30,C30,0.0,0.2987578213214874,0,0.0078038666397333,3,,,,True
assist_09,CRG03_row7398,33,C33,79,C79,0.0,0.0456210598349571,0,0.0049200318753719,3,,,,True
assist_09,CRG03_row7398,33,C33,97,C97,0.0,0.0163420047610998,0,0.0045608012005686,3,,,,True
assist_09,CRG03_row7398,33,C33,46,C46,0.0,0.0158580187708139,0,0.0043831882067024,3,,,,True
assist_09,CRG03_row7398,33,C33,82,C82,0.0,0.0308404881507158,0,0.0037289694882929,3,,,,True
junyi,CRG01_row131,13,C13,13,C13,0.0,0.0,1,0.050168439745903,1,,,,True
junyi,CRG01_row131,13,C13,749,C749,0.0,0.0291947741061449,0,0.0477742850780487,1,,,,True
junyi,CRG01_row131,13,C13,487,C487,0.0,0.0203067548573017,0,0.0475445166230201,1,,,,True
junyi,CRG01_row131,13,C13,728,C728,0.0,0.0205759741365909,0,0.0475435331463813,1,,,,True
junyi,CRG01_row131,13,C13,442,C442,0.0,0.0196175072342157,0,0.0460658371448516,1,,,,True
junyi,CRG01_row131,13,C13,633,C633,0.0,0.0303206052631139,0,0.0450694113969802,1,,,,True
junyi,CRG01_row131,13,C13,727,C727,0.0,0.0285011027008295,0,0.0441606864333152,1,,,,True
junyi,CRG01_row131,13,C13,235,C235,0.0,0.0141130462288856,0,0.0441029965877532,1,,,,True
junyi,CRG02_row55666,567,C567,633,C633,0.0,0.0285572297871112,0,0.0909359604120254,2,,,,True
junyi,CRG02_row55666,567,C567,31,C31,0.0,0.0223209243267774,0,0.0763536244630813,2,,,,True
junyi,CRG02_row55666,567,C567,487,C487,0.0,0.0153568964451551,0,0.0546611249446868,2,,,,True
junyi,CRG02_row55666,567,C567,749,C749,0.0,0.015029702335596,0,0.0536268651485443,2,,,,True
junyi,CRG02_row55666,567,C567,727,C727,0.0,0.0155871175229549,0,0.0516169779002666,2,,,,True
junyi,CRG02_row55666,567,C567,492,C492,0.0,0.0161650050431489,0,0.0510333776473999,2,,,,True
junyi,CRG02_row55666,567,C567,567,C567,0.0,0.0,1,0.0501806139945983,2,,,,True
junyi,CRG02_row55666,567,C567,728,C728,0.0,0.0122287347912788,0,0.0424408130347728,2,,,,True
junyi,CRG03_row40886,644,C644,644,C644,0.0,0.0,1,0.0502826571464538,3,,,,True
junyi,CRG03_row40886,644,C644,487,C487,0.0,0.0484146699309349,0,0.0449394024908542,3,,,,True
junyi,CRG03_row40886,644,C644,728,C728,0.0,0.0313684791326522,0,0.0449384711682796,3,,,,True
junyi,CRG03_row40886,644,C644,633,C633,0.0,0.0482248701155185,0,0.0425999090075492,3,,,,True
junyi,CRG03_row40886,644,C644,748,C748,0.0,0.0306128542870283,0,0.0420930609107017,3,,,,True
junyi,CRG03_row40886,644,C644,196,C196,0.0,0.0388846397399902,0,0.041979506611824,3,,,,True
junyi,CRG03_row40886,644,C644,727,C727,0.0,0.0357441715896129,0,0.0417409837245941,3,,,,True
junyi,CRG03_row40886,644,C644,557,C557,0.0,0.0219525899738073,0,0.0415982902050018,3,,,,True
assist_17,CRG01_row12124,12,C12,69,C69,0.4545454680919647,0.0186248309910297,0,0.4551074802875519,1,,,,True
assist_17,CRG01_row12124,12,C12,14,C14,0.4545454680919647,0.0420397371053695,0,0.412467360496521,1,,,,True
assist_17,CRG01_row12124,12,C12,37,C37,0.0909090936183929,0.0255590565502643,0,0.0824247300624847,1,,,,True
assist_17,CRG01_row12124,12,C12,12,C12,0.0,0.0,1,0.050000000745058,1,,,,True
assist_17,CRG01_row12124,12,C12,58,C58,0.0,0.0718510299921035,0,1.0047735088392075e-07,1,,,,True
assist_17,CRG01_row12124,12,C12,7,C7,0.0,0.0303311273455619,0,6.363470816950212e-08,1,,,,True
assist_17,CRG01_row12124,12,C12,39,C39,0.0,0.0133824413642287,0,3.423449612682816e-08,1,,,,True
assist_17,CRG01_row12124,12,C12,13,C13,0.0,0.0227203574031591,0,3.409973814427758e-08,1,,,,True
assist_17,CRG02_row36680,63,C63,21,C21,0.1351351290941238,0.0826672688126564,0,0.3818850517272949,2,,,,True
assist_17,CRG02_row36680,63,C63,14,C14,0.1621621549129486,0.0441832728683948,0,0.2967760860919952,2,,,,True
assist_17,CRG02_row36680,63,C63,11,C11,0.0270270258188247,0.0201029852032661,0,0.0582835786044597,2,,,,True
assist_17,CRG02_row36680,63,C63,4,C4,0.0540540516376495,0.0222524516284465,0,0.0574257969856262,2,,,,True
assist_17,CRG02_row36680,63,C63,63,C63,0.0,0.0,1,0.050000000745058,2,,,,True
assist_17,CRG02_row36680,63,C63,30,C30,0.0540540516376495,0.0098335677757859,0,0.0317622125148773,2,,,,True
assist_17,CRG02_row36680,63,C63,47,C47,0.108108103275299,0.0135325426235795,0,0.0291983224451541,2,,,,True
assist_17,CRG02_row36680,63,C63,25,C25,0.0270270258188247,0.0145624643191695,0,0.0239218045026063,2,,,,True
assist_17,CRG03_row68359,24,C24,7,C7,0.1538461595773697,0.0167572237551212,0,0.2910402119159698,3,,,,True
assist_17,CRG03_row68359,24,C24,10,C10,0.3076923191547394,0.0174203552305698,0,0.259764015674591,3,,,,True
assist_17,CRG03_row68359,24,C24,25,C25,0.0769230797886848,0.0166539065539836,0,0.1281528770923614,3,,,,True
assist_17,CRG03_row68359,24,C24,2,C2,0.0769230797886848,0.0190827026963233,0,0.1032682210206985,3,,,,True
assist_17,CRG03_row68359,24,C24,37,C37,0.0769230797886848,0.0236624311655759,0,0.0666538178920745,3,,,,True
assist_17,CRG03_row68359,24,C24,45,C45,0.0769230797886848,0.0155824301764369,0,0.0570229738950729,3,,,,True
assist_17,CRG03_row68359,24,C24,24,C24,0.0,0.0,1,0.050000000745058,3,,,,True
assist_17,CRG03_row68359,24,C24,30,C30,0.1538461595773697,0.0052240570075809,0,0.0396632514894008,3,,,,True
assist_17,CRG03_row68359,31,C31,33,C33,0.1666666716337204,0.0379155501723289,0,0.4440410733222961,3,,,,True
assist_17,CRG03_row68359,31,C31,66,C66,0.1666666716337204,0.0130410250276327,0,0.3326481878757477,3,,,,True
assist_17,CRG03_row68359,31,C31,11,C11,0.1666666716337204,0.0203375704586505,0,0.1241156905889511,3,,,,True
assist_17,CRG03_row68359,31,C31,31,C31,0.0,0.0,1,0.050000000745058,3,,,,True
assist_17,CRG03_row68359,31,C31,37,C37,0.1666666716337204,0.0270622484385967,0,0.0363807156682014,3,,,,True
assist_17,CRG03_row68359,31,C31,75,C75,0.1666666716337204,0.0029233184177428,0,0.0081576537340879,3,,,,True
assist_17,CRG03_row68359,31,C31,24,C24,0.1666666716337204,0.0022755851969122,0,0.0046563274227082,3,,,,True
