dataset,subgroup,variant,n_eval,auc,bce,rmse,acc,mask_type,paired_n,target_bce_increase,random_bce_increase
assist_09,direct_seen_sample,full,500.0,0.7420289855072464,0.5387386204502479,0.424924756632256,0.732,original,,,
assist_09,direct_seen_sample,full,500.0,0.7414305750350632,0.5397667920869389,0.4255578463729051,0.732,random_history_mask,,,
assist_09,direct_seen_sample,full,500.0,0.7054885460495558,0.6198647480805853,0.4529305092010679,0.714,target_concept_mask,,,
assist_09,direct_seen_sample,no_CRG,500.0,0.7418606825619449,0.5341859047682768,0.42396948858570827,0.734,original,,,
assist_09,direct_seen_sample,no_CRG,500.0,0.7418606825619449,0.5341859047682768,0.42396948858570827,0.734,random_history_mask,,,
assist_09,direct_seen_sample,no_CRG,500.0,0.7418606825619449,0.5341859047682768,0.42396948858570827,0.734,target_concept_mask,,,
assist_09,direct_seen_sample,no_LCRF,500.0,0.7235156615240768,0.5604363932481582,0.4322828948706336,0.728,original,,,
assist_09,direct_seen_sample,no_LCRF,500.0,0.7235156615240768,0.5604363932481582,0.4322828948706336,0.728,random_history_mask,,,
assist_09,direct_seen_sample,no_LCRF,500.0,0.7235156615240768,0.5604363932481582,0.4322828948706336,0.728,target_concept_mask,,,
assist_09,direct_seen_sample,self_only,500.0,0.7266573165030388,0.5744710659442415,0.4402454032140771,0.71,original,,,
assist_09,direct_seen_sample,self_only,500.0,0.7266573165030388,0.5744710659442415,0.4402454032140771,0.71,random_history_mask,,,
assist_09,direct_seen_sample,self_only,500.0,0.6820570359981301,0.5987955460334422,0.44707383928513594,0.71,target_concept_mask,,,
assist_09,paired_bce_increase,full,,,,,,,500.0,0.08112612763033739,0.001028171636690889
assist_09,paired_bce_increase,no_CRG,,,,,,,500.0,0.0,0.0
assist_09,paired_bce_increase,no_LCRF,,,,,,,500.0,0.0,0.0
assist_09,paired_bce_increase,self_only,,,,,,,500.0,0.024324480089200632,0.0
