dataset,case_id,learner_rank,support_col_index,support_valid_mask,global_support_prob,posterior_prob,posterior_minus_global,gate_alpha,learner_id,mapped_student_id,eval_row_id,query_concept_id,support_concept_id,query_mastery,query_recent_mastery,support_mastery,support_recent_mastery,support_count,pred_global,pred_full,true_label,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js
assist_09,assist_09_Q29_S12,1,1,True,0.007385063844578227,0.0039295514428735615,-0.003455512401704665,0.11409562081098557,551,512,13260,29,12,-0.3373951315879822,-0.2849273085594177,-0.4073570668697357,-0.8066278100013733,2.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,2,True,0.01768075746110572,0.05412033603838387,0.03643957857727815,0.11409562081098557,551,512,13260,29,14,-0.3373951315879822,-0.2849273085594177,0.21162617206573486,-0.07407557964324951,17.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,3,True,0.07723453071499684,0.06251619315196566,-0.014718337563031175,0.11409562081098557,551,512,13260,29,17,-0.3373951315879822,-0.2849273085594177,0.13242840766906738,0.32033729553222656,1.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,4,True,0.007645127983498035,0.011873828894969162,0.004228700911471128,0.11409562081098557,551,512,13260,29,18,-0.3373951315879822,-0.2849273085594177,0.1628206968307495,0.38630640506744385,1.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,5,True,0.011217983619224,0.23205965038198856,0.22084166676276457,0.11409562081098557,551,512,13260,29,20,-0.3373951315879822,-0.2849273085594177,-0.5461462736129761,-0.4212992191314697,47.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,6,True,0.2119991911542808,0.1680334774923808,-0.043965713661900024,0.11409562081098557,551,512,13260,29,23,-0.3373951315879822,-0.2849273085594177,0.2115950584411621,0.29569900035858154,6.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,7,True,0.050022833636612564,0.00960578778684873,-0.040417045849763834,0.11409562081098557,551,512,13260,29,29,-0.3373951315879822,-0.2849273085594177,-0.3373951315879822,-0.2849273085594177,35.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,8,True,0.0033738935321007526,0.08141799874969813,0.07804410521759737,0.11409562081098557,551,512,13260,29,48,-0.3373951315879822,-0.2849273085594177,0.2848849594593048,0.9427875280380249,22.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,9,True,0.6004126514901441,0.15092086584783285,-0.4494917856423113,0.11409562081098557,551,512,13260,29,49,-0.3373951315879822,-0.2849273085594177,-0.7202586531639099,-0.443634033203125,35.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
assist_09,assist_09_Q29_S12,1,10,True,0.002722366585373147,0.0624087469389731,0.05968638035359995,0.11409562081098557,551,512,13260,29,51,-0.3373951315879822,-0.2849273085594177,-0.20549996197223663,-0.4752214550971985,1.0,0.8886875510215759,0.6332253813743591,1.0,True,0.17253229042437757,0.007342378017334533
