dataset,case_id,learner_rank,support_col_index,support_slot_id,support_valid_mask,global_support_prob,posterior_prob,posterior_minus_global,gate_alpha,learner_id,mapped_student_id,eval_row_id,candidate_type,query_item_id,query_concept_id,support_concept_id,query_mastery,query_recent_mastery,support_mastery,support_recent_mastery,support_count,pred_global,pred_full,true_label,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js
nips34,nips34_Q8_S96,1,1,0,True,0.15718198955987822,0.2007782824351286,0.04359629287525038,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,58,-0.1859186589717865,-0.2391371726989746,-0.40559059381484985,-0.044818565249443054,47.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,2,1,True,0.03108218241727504,0.01765921639850062,-0.013422966018774421,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,59,-0.1859186589717865,-0.2391371726989746,0.5313423275947571,-0.23632359504699707,30.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,3,2,True,0.02639481179122069,0.018874752496247618,-0.007520059294973073,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,57,-0.1859186589717865,-0.2391371726989746,-0.8244122266769409,-0.8447986841201782,10.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,4,3,True,0.01483860298845007,0.005518394297149587,-0.009320208691300482,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,35,-0.1859186589717865,-0.2391371726989746,1.3498258590698242,1.489377498626709,13.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,5,4,True,0.012499999902597238,0.004327760367047626,-0.008172239535549613,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,8,-0.1859186589717865,-0.2391371726989746,-0.1859186589717865,-0.2391371726989746,87.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,6,5,True,0.003862768091146436,0.0013505750715872447,-0.0025121930195591913,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,1,-0.1859186589717865,-0.2391371726989746,0.020632416009902954,-0.2744305431842804,102.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,7,6,True,0.003336506820004334,0.0012082536211720089,-0.002128253198832325,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,2,-0.1859186589717865,-0.2391371726989746,1.2723159790039062,1.4945365190505981,11.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,8,7,True,0.0008031240249335863,0.0002827038873092582,-0.0005204201376243281,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,0,-0.1859186589717865,-0.2391371726989746,0.5426735877990723,0.24269966781139374,138.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,9,8,True,2.955442268237221e-09,1.1723470604339085e-09,-1.7830952078033124e-09,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,20,-0.1859186589717865,-0.2391371726989746,0.0,0.0,0.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,10,9,True,8.576860138426963e-10,2.348190657118869e-09,1.4905046432761729e-09,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,14,-0.1859186589717865,-0.2391371726989746,1.4357773065567017,1.5504417419433594,19.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,11,10,True,5.533604004893691e-10,1.2199645240166948e-09,6.666041235273257e-10,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,4,-0.1859186589717865,-0.2391371726989746,0.35669970512390137,0.7213606834411621,2.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
nips34,nips34_Q8_S96,1,12,11,True,2.714637064595607e-10,2.4133956070061638e-09,2.141931900546603e-09,0.09588467329740524,63,48,1532,same_query_concept_slot,639,8,54,-0.1859186589717865,-0.2391371726989746,0.18996384739875793,0.443327397108078,1.0,0.33627018332481384,0.6771837472915649,1.0,True,0.05240123385229797,0.001421183979343547
