dataset,case_id,learner_id_anonymized,query_item_id,query_concept_id,query_concept_name,true_label,query_mastery,query_recent_mastery,query_count,history_len,pred_global,pred_no_filter,pred_full,prediction_shift_full_minus_global,gate_alpha,support_col_index,support_valid_mask,support_concept_id,support_concept_name,global_support_prob,posterior_prob,posterior_minus_global,support_mastery,support_recent_mastery,support_count,support_identical_check_passed,train_only_support_check_passed,mean_pairwise_l1,mean_pairwise_js
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,1,True,12,C12,0.0073850638445782,0.0039295514428735,-0.0034555124017046,-0.4073570668697357,-0.8066278100013733,2.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,2,True,14,C14,0.0176807574611057,0.0541203360383838,0.0364395785772781,0.2116261720657348,-0.0740755796432495,17.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,3,True,17,C17,0.0772345307149968,0.0625161931519656,-0.0147183375630311,0.1324284076690673,0.3203372955322265,1.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,4,True,18,C18,0.007645127983498,0.0118738288949691,0.0042287009114711,0.1628206968307495,0.3863064050674438,1.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,5,True,20,C20,0.011217983619224,0.2320596503819885,0.2208416667627645,-0.5461462736129761,-0.4212992191314697,47.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,6,True,23,C23,0.2119991911542808,0.1680334774923808,-0.0439657136619,0.2115950584411621,0.2956990003585815,6.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,7,True,29,C29,0.0500228336366125,0.0096057877868487,-0.0404170458497638,-0.3373951315879822,-0.2849273085594177,35.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,8,True,48,C48,0.0033738935321007,0.0814179987496981,0.0780441052175973,0.2848849594593048,0.9427875280380248,22.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,9,True,49,C49,0.6004126514901441,0.1509208658478328,-0.4494917856423113,-0.7202586531639099,-0.443634033203125,35.0,True,True,0.1725322904243775,0.0073423780173345
assist_09,assist_09_Q29_S12,S1,,29,C29,1.0,-0.3373951315879822,-0.2849273085594177,,,0.8886875510215759,,0.6332253813743591,-0.2554621696472168,0.1140956208109855,10,True,51,C51,0.0027223665853731,0.0624087469389731,0.0596863803535999,-0.2054999619722366,-0.4752214550971985,1.0,True,True,0.1725322904243775,0.0073423780173345
