case_id,rank,row_concept,col_concept,row_order,col_order,a_weight,item_prior,seq_prior,source,row_is_query,col_is_query
A01_row39811,1,C58,C58,0,0,0.050018031150102615,0.0,0.0,self,1,1
A01_row39811,1,C58,C45,0,1,0.6483852863311768,0.4743202328681946,0.09498608112335205,item+seq,1,0
A01_row39811,1,C58,C104,0,2,0.21812303364276886,0.5256797671318054,0.015418204478919506,item+seq,1,0
A01_row39811,1,C58,C32,0,3,0.02535301074385643,0.0,0.11874371021986008,seq,1,0
A01_row39811,1,C58,C98,0,4,0.010942129418253899,0.0,0.07699918746948242,seq,1,0
A01_row39811,1,C58,C14,0,5,0.010146577842533588,0.0,0.053361061960458755,seq,1,0
A01_row39811,1,C58,C81,0,6,0.007523669861257076,0.0,0.04672824591398239,seq,1,0
A01_row39811,1,C58,C13,0,7,0.007160644978284836,0.0,0.0331450030207634,seq,1,0
A01_row39811,1,C45,C58,1,0,0.46991294622421265,0.6709401607513428,0.07670040428638458,item+seq,0,1
A01_row39811,1,C45,C45,1,1,0.05001159757375717,0.0,0.0,self,0,0
A01_row39811,1,C45,C104,1,2,0.0,0.0,0.006321292836219072,seq,0,0
A01_row39811,1,C45,C32,1,3,0.0027661239728331566,0.0,0.022471584379673004,seq,0,0
A01_row39811,1,C45,C98,1,4,0.006946149282157421,0.0,0.08865475654602051,seq,0,0
A01_row39811,1,C45,C14,1,5,0.0028383764438331127,0.0,0.02932329662144184,seq,0,0
A01_row39811,1,C45,C81,1,6,0.005222715437412262,0.0,0.056094568222761154,seq,0,0
A01_row39811,1,C45,C13,1,7,0.0,0.0,0.015754101797938347,seq,0,0
A01_row39811,1,C104,C58,2,0,0.8653737306594849,1.0,0.06057984009385109,item+seq,0,1
A01_row39811,1,C104,C45,2,1,0.007066754624247551,0.0,0.035730477422475815,seq,0,0
A01_row39811,1,C104,C104,2,2,0.05004103109240532,0.0,0.0,self,0,0
A01_row39811,1,C104,C32,2,3,0.0,0.0,0.014802532270550728,seq,0,0
A01_row39811,1,C104,C98,2,4,0.02220405824482441,0.0,0.15438944101333618,seq,0,0
A01_row39811,1,C104,C14,2,5,0.005507179535925388,0.0,0.02275148779153824,seq,0,0
A01_row39811,1,C104,C81,2,6,0.004896332509815693,0.0,0.022606302052736282,seq,0,0
A01_row39811,1,C104,C13,2,7,0.0,0.0,0.019809387624263763,seq,0,0
A01_row39811,1,C32,C58,3,0,0.012508880347013474,0.0,0.04966938495635986,seq,0,1
A01_row39811,1,C32,C45,3,1,0.0,0.0,0.010206346400082111,seq,0,0
A01_row39811,1,C32,C104,3,2,0.0,0.0,0.0008553948136977851,seq,0,0
A01_row39811,1,C32,C32,3,3,0.05002943053841591,0.0,0.0,self,0,0
A01_row39811,1,C32,C98,3,4,0.013780687004327774,0.0,0.07277209311723709,seq,0,0
A01_row39811,1,C32,C14,3,5,0.0,0.0,0.006003282964229584,seq,0,0
A01_row39811,1,C32,C81,3,6,0.00895668938755989,0.0,0.041320379823446274,seq,0,0
A01_row39811,1,C32,C13,3,7,0.0,0.0,0.004420133773237467,seq,0,0
A01_row39811,1,C98,C58,4,0,0.0,0.0,0.012008637189865112,seq,0,1
A01_row39811,1,C98,C45,4,1,0.0,0.0,0.015876907855272293,seq,0,0
A01_row39811,1,C98,C104,4,2,0.0,0.0,0.005243433173745871,seq,0,0
A01_row39811,1,C98,C32,4,3,0.07455938309431076,0.0,0.031022697687149048,seq,0,0
A01_row39811,1,C98,C98,4,4,0.05033969134092331,0.0,0.0,self,0,0
A01_row39811,1,C98,C14,4,5,0.09217502176761627,0.0,0.046934932470321655,seq,0,0
